country,official_lang,regional_lang,minority_lang,national_lang,widely_spoken_lang
Grenada,['English'],,,,
Guatemala,['Spanish'],,,,
Guinea,['French'],,,,"['Fula', 'Maninka', 'Susu']"
GuineaBissau,['Portuguese'],,,,
Guyana,['English'],,,,['Guyanese Creole']
Haiti,"['French', 'Haitian Creole']",,,,
Honduras,['Spanish'],"['Garifuna', 'English', 'Miskito']",,,
Hungary,['Hungarian'],,"['Croatian', 'German', 'Romanian', 'Serbian', 'Slovak', 'Slovene']",,
Iceland,"['Icelandic', 'Icelandic Sign Language']",,,,
India,"['Hindi', 'English']","['22 official languages - Assamese, Bengali, Bodo, Dogri, Gujarati, Hindi, Kannada, Kashmiri, Konkani, Maithili, Malayalam, Meitei , Marathi, Nepali, Odia , Punjabi, Sanskrit, Santali, Sindhi, Tamil, Telugu, and Urdu.']",['see Languages of India'],,['see List of languages by number of native speakers in India']
Indonesia,['Indonesian'],"['Malay', 'Javanese']",,"['Indonesian', 'Malay']","['Malay', 'Javanese', 'Indonesian', 'Sundanese', 'Madurese', 'Minangkabau', 'see 700 More Languages in Indonesia']"
Iran,['Persian'],,,['Persian'],"['Azerbaijani', 'Kurdish', 'Luri', 'Gilaki', 'Mazanderani', 'Balochi', 'Arabic', 'Qashqai', 'Tati', 'Turkmeni']"
Iraq,"['Arabic', 'Kurdish']","['Armenian recognized', 'Assyrian Neo-Aramaic', 'Iraqi Turkmen', 'Kurdish']",,,
Ireland,"['Irish', 'English']",,,['Irish'],
Israel,['Hebrew'],['Arabic'],['English'],,"['Russian', 'English']"
Italy,['Italian'],"['French', 'Franco-Provençal', 'Occitan', 'German', 'Ladin', 'Friulian', 'Slovene', 'Albanian/Arbereshe', 'Sardinian', 'Corsican', 'Two dialects of Greek, Griko  and Calabrian Greek']","['Ladin', 'Slovene']",,['Other Italo-Dalmatian languages']
IvoryCoast,['French'],,,,
Jamaica,['English'],,,['Jamaican Patois'],
Japan,['None'],,,['Japanese'],
Jordan,['Arabic'],,"['Circassian', 'Chechen', 'Armenian']",,
Kazakhstan,"['Kazakh', 'Russian']",,,['Kazakh'],
Kenya,"['English', 'Swahili']",,,['Swahili'],
Kiribati,['English'],,,['Kiribati'],
NorthKorea,['Korean'],,,,
SouthKorea,"['Korean', 'Korean Sign Language']",,,,
Kosovoa,"['Albanian', 'Serbian']",['Turkish'],,"['Albanian', 'Serbian']",
Kuwait,['Standard Arabic'],,,"['Kuwaiti Sign Language', 'Kuwaiti Arabic', 'Kuwaiti Persian']",
Kyrgyzstan,"['Kyrgyz', 'Russian']",,,['Kyrgyz'],
Laos,['Lao'],,,,
Latvia,['Latvian'],,,,['Russian']
Lebanon,['Arabic'],['Arabic'],['Armenian'],"['Arabic', 'English', 'French']","['Arabic', 'English', 'French']"
Lesotho,"['Sotho', 'English']",,,['Sotho'],
Liberia,['English'],,,,
